artifact_id,truckFactor,criticality_score
javax.validation:validation-api,2,-1
net.liftweb:lift-json_2.12,2,0.59867
io.reactivex.rxjava2:rxjava,2,0.6316
org.opentest4j:opentest4j,2,0.5396
org.eclipse.jetty:jetty-xml,2,-1
org.junit.jupiter:junit-jupiter-api,2,0.75231
org.powermock:powermock-module-junit4,2,0.52549
org.eclipse.jetty:jetty-util,2,-1
org.junit.platform:junit-platform-runner,2,0.75231
org.mybatis:mybatis,2,0.67015
org.scoverage:scalac-scoverage-runtime_2.10,2,0.494
org.scoverage:scalac-scoverage-plugin_2.10,2,0.494
org.apache.maven.wagon:wagon-file,2,-1
io.dropwizard:dropwizard-core,2,0.75412
org.ow2.asm:asm,2,-1
org.eclipse.jetty:jetty-webapp,2,-1
info.cukes:cucumber-junit,2,0.67355
com.squareup.okhttp3:okhttp-urlconnection,2,0.73412
org.codehaus.plexus:plexus-utils,2,-1
org.scalactic:scalactic_2.11,2,0.64796
org.eclipse.jetty:jetty-jmx,2,-1
org.fusesource.jansi:jansi,2,0.56862
org.powermock:powermock-api-mockito,2,0.52549
org.xwiki.commons:xwiki-commons-tool-test-simple,2,-1
io.netty:netty-transport,2,0.82638
biz.aQute.bnd:biz.aQute.bndlib,2,0.63667
io.swagger:swagger-annotations,2,0.68552
org.jboss:jboss-vfs,2,-1
org.webjars.bower:bootstrap,2,0.79055
org.ops4j.pax.url:pax-url-commons,2,-1
jline:jline,2,0.54114
org.scala-lang.modules:scala-java8-compat_2.12,2,0.57598
com.google.inject:guice,2,0.65606
org.webjars.bowergithub.polymerelements:iron-icon,2,-1
org.hdrhistogram:HdrHistogram,2,0.54958
com.squareup.okhttp3:okhttp-tls,2,0.73412
com.squareup:javapoet,2,0.59687
org.jetbrains:annotations,2,0.50279
org.json4s:json4s-native_2.11,2,0.64795
org.powermock:powermock-api-mockito2,2,0.52549
net.minidev:json-smart,2,0.58313
org.junit.platform:junit-platform-launcher,2,0.75231
com.google.code.gson:gson,2,0.7122
org.skyscreamer:jsonassert,2,0.53778
org.scalaz.stream:scalaz-stream_2.10,2,-1
info.cukes:cucumber-java,2,0.67355
org.scalatest:scalatest_2.12,2,0.64796
org.eclipse.jetty:jetty-http,2,-1
org.openehealth.ipf.commons:ipf-commons-core,2,-1
org.hibernate:hibernate-entitymanager,2,0.76085
org.springframework.boot:spring-boot-autoconfigure,2,0.869
org.apache.ant:ant-junit,2,-1
org.jdom:jdom,2,0.39597
org.scala-native:nativelib_native0.3_2.11,2,0.71301
biz.aQute:bnd,2,0.63667
org.junit.jupiter:junit-jupiter-params,2,0.75231
org.springframework:spring-context,3,0.84312
org.webjars.npm:jquery,3,0.74649
org.codehaus.groovy:groovy-all,3,0.71203
nz.ac.waikato.cms.weka:weka-dev,3,-1
org.springframework:spring-orm,3,0.84312
javax.portlet:portlet-api,3,-1
io.mraa.at:mraa,3,-1
org.springframework:spring-jdbc,3,0.84312
org.springframework:spring-expression,3,0.84312
org.webjars.bowergithub.polymer:polymer,3,0.56638
org.json:json,3,-1
com.google.guava:guava-gwt,3,-1
org.springframework:spring-tx,3,0.84312
org.springframework:spring-oxm,3,0.84312
org.typelevel:cats-effect_2.12,3,0.66107
io.mraa:mraa,3,-1
org.springframework.integration:spring-integration-kafka,3,0.44498
org.liquibase:liquibase-core,3,-1
javax.servlet:servlet-api,3,-1
com.google.guava:guava-testlib,3,-1
org.apache.maven:maven-archiver,3,-1
org.webjars.bower:github-com-Polymer-polymer,3,0.56638
com.google.guava:guava,3,0.75225
com.typesafe.play:twirl-api_2.11,3,0.56334
org.typelevel:cats-core_2.11,3,-1
com.lowagie:itext,3,0.4696
com.google.auto.value:auto-value,3,0.64561
org.postgresql:postgresql,3,0.6982
org.webjars.npm:babel-runtime,3,0.84918
org.codehaus.groovy:groovy-xml,3,0.71203
org.robolectric:robolectric,3,-1
com.google.truth:truth,3,0.62822
io.reactivex.rxjava2:rxandroid,3,0.478
org.assertj:assertj-core,3,-1
org.springframework:spring-messaging,3,0.84312
org.springframework:spring-context-support,3,0.84312
junit:junit,3,0.65954
org.springframework:spring-web,3,0.84312
org.springframework:spring-test,3,0.84312
org.codehaus.groovy:groovy,3,0.71203
net.sourceforge.cobertura:cobertura,3,-1
org.scalaz:scalaz-concurrent_2.10,3,0.5796
org.springframework:spring-core,3,0.84312
org.clojure:clojurescript,3,0.45524
org.scalaz:scalaz-core_2.10,3,0.5796
org.springframework.integration:spring-integration-core,3,-1
org.scalaz:scalaz-concurrent_2.11,3,0.5796
org.springframework:spring-beans,3,0.84312
org.springframework:spring-webmvc,3,0.84312
org.springframework:spring-instrument,3,0.84312
org.springframework:spring-aop,3,0.84312
org.webjars.npm:angular,4,0.64793
org.reactivestreams:reactive-streams-tck,4,-1
org.scala-lang.modules:scala-xml_2.11,4,0.60784
org.apache.maven:maven-core,4,0.6721
org.reactivestreams:reactive-streams,4,-1
org.scala-lang.modules:scala-xml_2.12,4,0.60784
org.openjfx:javafx-base,4,0.68599
com.typesafe.akka:akka-http_2.12,4,0.63571
com.microsoft.azure:azure-mgmt-resources,4,0.75057
org.opencms:opencms-core,4,0.47467
org.typelevel:cats-core_2.12,5,0.70307
com.google.errorprone:error_prone_annotations,5,0.71742
org.webjars.npm:prop-types,5,0.85542
com.ibm.icu:icu4j,6,0.66925
org.scala-lang.modules:scala-parser-combinators_2.11,6,0.59526
org.scala-lang:scala-actors,6,0.80276
org.scala-lang:scala-library,6,0.80276
org.scala-lang:scala-compiler,6,0.80276
org.scala-lang:scalap,6,0.80276
org.typelevel:scala-library,6,0.80276
org.scala-lang:jline,6,0.80276
org.scala-lang:scala-swing,6,0.80276
org.scala-lang.modules:scala-parser-combinators_2.12,6,0.59526
com.google.protobuf:protobuf-java,6,0.76894
org.scala-lang:scala-reflect,6,0.80276
com.typesafe.akka:akka-stream_2.11,7,0.74233
io.grpc:grpc-stub,7,0.75269
io.grpc:grpc-core,7,0.75269
com.typesafe.akka:akka-testkit_2.12,7,0.74233
com.typesafe.akka:akka-stream_2.12,7,0.74233
io.grpc:grpc-protobuf,7,0.75269
org.apache.thrift:libthrift,7,0.68403
org.mule:mule-core,8,-1
com.puppycrawl.tools:checkstyle,10,0.6616
com.android.databinding:baseLibrary,11,-1
org.neo4j:neo4j-io,12,0.76262
org.neo4j:neo4j-kernel,12,0.76262
org.neo4j:neo4j-common,12,0.76262
org.jetbrains.kotlin:kotlin-stdlib-jdk8,15,0.73357
org.jetbrains.kotlin:kotlin-stdlib,15,0.73357
com.hazelcast:hazelcast,15,-1
org.jetbrains.kotlin:kotlin-stdlib-js,15,0.73357
org.jetbrains.kotlin:kotlin-test-js,15,0.73357
org.jetbrains.kotlin:kotlin-test-common,15,0.73357
org.jetbrains.kotlin:kotlin-stdlib-common,15,0.73357
org.jetbrains.kotlin:kotlin-reflect,15,0.73357
org.jetbrains.kotlin:kotlin-stdlib-jdk7,15,0.73357
org.jetbrains.kotlin:kotlin-test-junit,15,0.73357
org.jetbrains.kotlin:kotlin-runtime,15,0.73357
org.jetbrains.kotlin:kotlin-test-annotations-common,15,0.73357
org.jetbrains.kotlin:kotlin-test,15,0.73357
org.elasticsearch:elasticsearch,27,0.749
